,Price
7313,6000000
6028,5260000
407,5000000
558,2500000
5472,3800000
585,17000000
9314,7500000
7410,14000000
6081,5600000
4447,2200000
3783,5000000
252,3900000
8414,24000000
7925,22900000
8597,3500000
4314,6800000
3862,5550000
5031,6000000
5242,4000000
7213,31600000
1022,5900000
8902,8305000
4240,5800000
8139,5500000
5532,5000000
8435,13500000
5660,4200000
3315,6000000
8319,4500000
9410,4500000
5002,9200000
8895,5900000
5925,17000000
5382,17500000
5688,21000000
2018,4200000
5204,11500000
919,6500000
3128,11600000
7912,5000000
9055,5700000
324,6880000
1187,47000000
7688,8750000
1221,7845000
5838,7400000
9984,7128000
1688,45000000
9563,5715000
4762,5376000
8187,3500000
8510,8800000
6862,1600000
2605,24500000
1406,11500000
1410,8450000
5759,18500000
79,7400000
7464,5200000
6870,2900000
3047,6377000
10069,3685000
6169,15500000
166,6000000
7996,12900000
4263,24000000
3838,8300000
9710,5800000
2118,5500000
4603,4385000
4843,14100000
6941,4480000
2298,1675000
1253,6200000
4752,10400000
9027,17000000
9849,7500000
7670,5899000
2816,47700000
1660,5420000
6677,40000000
7642,5700000
3730,5800000
2556,11000000
860,3900000
1315,4000000
7020,5000000
9851,4870000
2016,7825000
5312,11500000
5569,9500000
6994,4590000
3708,4400000
6829,5500000
6061,7000000
10098,13800000
5732,12000000
7721,5207000
7712,18500000
583,20000000
7761,6000000
5673,25000000
3903,5500000
2771,7900000
7141,7000000
7265,6200000
3198,6790000
5433,26000000
6830,4200000
5043,11900000
8188,4200000
1604,8945000
5521,16000000
7436,5000000
3488,6840000
3132,9486000
5627,8000000
3523,7000000
4265,7800000
7831,3833000
4593,62500000
5513,4500000
3069,4260000
4644,10600000
1552,1989999
7075,4700000
8096,3779999
6676,42000000
6722,4500000
6743,17500000
9315,3000000
7096,13500000
5646,17200000
2846,7500000
507,20000000
8608,5500000
4034,4639000
7155,4629000
9693,10800000
3703,4500000
8431,8800000
2727,8200000
4121,9900000
6590,25000000
3365,5515000
465,1800000
2897,9500000
8930,22500000
3302,6800000
9435,19900000
5794,4000000
6965,23800000
5058,5500000
8216,1987000
2776,7750000
7273,3700000
4548,18000000
7413,4400000
3169,7500000
10016,3300000
6596,7039000
9881,6150000
4229,9620000
2755,12500000
9844,3000000
2451,2600000
2642,4400000
358,10200000
7058,15000000
10107,10000000
3121,4500000
975,5200000
3174,6700000
7214,5400000
4912,4600000
2572,6850000
3477,4460000
6239,4200000
5347,20800000
9126,4008000
3599,8200000
4120,16500000
739,4200000
2768,10000000
135,8700000
1876,18000000
748,15000000
5692,6700000
5933,10500000
7693,9300000
6485,12000000
800,5500000
6612,26000000
9490,16000000
4107,5454000
344,5100000
6716,8800000
4677,6000000
6630,5600000
7243,5500000
4704,5200000
9631,5500000
7352,8000000
6601,5500000
7972,41500000
7414,5600000
5523,3522999
2251,6900000
8027,5000000
6684,2700000
5408,4300000
3731,4800000
7117,8700000
5212,13500000
4780,12800000
9816,6950000
6056,3783000
5474,5500000
1029,6500000
6658,2600000
9638,4100000
8330,7131999
3,13000000
7146,6300000
6379,6500000
6259,2500000
4639,5800000
592,5800000
270,30000000
981,16000000
5706,9186000
5372,12500000
5730,7500000
7345,4240000
281,9000000
7630,6500000
4461,5000000
9072,6300000
8459,4215000
534,4450000
1412,9000000
5489,4500000
5055,11500000
471,3610000
8394,10000000
3765,4902000
1120,3511000
2886,6200000
3983,3700000
3966,6500000
6183,12000000
7120,15000000
2721,6748000
9646,4000000
8359,5800000
3965,6000000
655,5459000
3871,4550000
3906,3600000
6337,3364000
2420,6000000
4554,42500000
2795,7400000
7928,20000000
1790,4800000
10033,1500000
2681,4200000
4217,6900000
444,2970000
4260,10500000
3098,8900000
6171,6580000
3011,4060000
2578,5500000
1288,4500000
6112,4700000
7848,5499000
9579,5800000
1581,2800000
9908,5271000
3735,4950000
2141,4042000
80,8000000
6285,4300000
2103,2800000
4629,10500000
1782,4000000
5491,4000000
6878,7500000
2639,12500000
10027,1600000
3078,9700000
4170,9620000
3045,25000000
432,5000000
5383,14200000
8951,15300000
3637,8000000
6466,13000000
8222,7613000
2707,4300000
487,3610000
5208,12500000
8882,6500000
776,14700000
2184,7300000
3276,4500000
7455,11500000
7485,7900000
1958,3400000
3947,7000000
5806,4800000
4996,7300000
4536,5555000
4998,22000000
1431,8550000
893,19500000
9687,3200000
9366,5191000
3005,6000000
2391,10000000
9542,5500000
3081,5946000
723,5000000
7881,4390000
7951,55000000
1538,4200000
6606,5200000
3395,2900000
1613,3800000
5037,7300000
251,3700000
5398,3600000
1586,9000000
7937,17000000
91,7500000
6134,9000000
371,12000000
9794,5500000
6668,3500000
1982,3149000
379,13000000
6391,5250000
8037,4600000
1791,13500000
9765,20000000
2630,6738000
6609,6200000
3914,6500000
5862,21400000
1353,2945000
10094,13800000
8140,14900000
3126,8400000
2971,8300000
2583,4400000
4567,28600000
4616,11000000
8838,8573000
3280,5500000
1612,5600000
6561,11100000
5842,13500000
6295,45000000
601,9000000
4764,9100000
1575,2512000
6571,8500000
8416,6500000
6742,7200000
7283,14000000
2361,4600000
4412,3000000
1289,4300000
262,8800000
2686,4700000
8572,18500000
5579,4000000
3889,7500000
9893,5500000
7177,5356000
218,3500000
8938,10400000
7222,12000000
8277,14000000
6126,8500000
4845,4900000
6548,14500000
4994,6900000
9981,8500000
7784,5700000
7833,5760000
1271,2900000
8698,9800000
2271,3525000
6710,42800000
4346,7508000
1726,6800000
5998,15000000
1435,8500000
3627,13600000
8830,10000000
2837,23000000
6257,28500000
7375,4500000
5676,5000000
6055,9000000
2615,8900000
9327,6450000
5137,6800000
7256,8950000
9916,7500000
5197,4590000
997,9000000
6793,2600000
1267,4500000
9457,7500000
6827,3300000
9707,6500000
4011,2575000
7124,5300000
730,4802000
4909,6950000
4369,2500000
3620,13000000
9416,11500000
8275,13500000
8734,5500000
4158,5012500
8434,18500000
8828,6500000
626,5700000
7758,7350000
1714,50100000
3131,8300000
463,1650000
8228,4168000
7504,7700000
8283,7765000
4331,8850000
8005,5204000
1290,4500000
3433,5000000
3197,6900000
4443,3000000
3530,5700000
4697,8500000
6903,6748999
5311,12000000
3850,4400000
7451,10000000
3629,7900000
4172,7298999
5100,5000000
6993,5000000
9402,9479000
388,12200000
5637,6500000
8474,14000000
6303,16500000
808,3500000
1900,12500000
2568,8700000
482,1500000
3727,3900000
8093,5000000
1392,14000000
3812,7500000
9164,5800000
4898,7200000
6403,11000000
3420,13000000
7040,4000000
3449,7400000
3031,6200000
7399,10000000
20,18000000
2453,6300000
7959,40300000
7322,5000000
1352,3522999
2778,13300000
5987,3650000
5567,8700000
3535,22000000
3416,8500000
8589,12000000
2387,40000000
8190,6500000
1618,12000000
4371,6000000
1517,2700000
9979,10900000
8316,9800000
2403,6800000
9386,5995000
6087,5000000
8357,13000000
410,17500000
2248,6500000
5899,10000000
4835,11300000
2869,9000000
6194,3852000
195,2990000
3830,11000000
5714,5800000
875,5100000
4788,6900000
2493,11500000
6549,5500000
4397,4060000
2894,8387000
6889,16000000
8893,3435499
2099,3500000
1122,6000000
1997,5500000
1021,6500000
2380,41000000
6026,5500000
85,6300000
5129,2950000
9411,6500000
1089,4260000
2087,3500000
4561,11900000
2813,8800000
870,15000000
8590,23500000
9672,7000000
7197,9500000
518,8200000
7563,14000000
3016,12500000
6177,4600000
8544,3700000
9820,10500000
6754,6500000
4451,3200000
4268,7800000
6565,11000000
5046,8900000
9004,9400000
5608,18800000
9924,8500000
7827,5356000
6853,9500000
292,8100000
101,7100000
605,5500000
4039,12100000
4117,8800000
1631,2500000
7890,5177000
9340,6740000
7983,34000000
6645,30000000
5273,5800000
2496,12000000
376,12500000
7997,9300000
434,1400000
4646,5400000
3147,15400000
8532,5500000
2666,7500000
5746,2000000
3338,5515000
9172,5200000
5727,5687000
3037,11300000
1338,4500000
7657,4700000
8210,3600000
6888,5585000
1700,15000000
9244,5800000
9930,10800000
8824,7400000
845,3183000
4791,8000000
4610,3860000
1430,6000000
1627,13600000
7908,6600000
9142,4759000
4177,5500000
3632,11000000
9424,8900000
7802,7000000
9138,4724000
6925,12000000
564,2490000
6144,7200000
6894,14000000
3454,5000000
5451,25000000
184,5700000
10100,6408000
6128,4975000
8910,5040000
3847,5500000
8273,4000000
2930,19800000
345,7300000
2381,14000000
6799,6300000
7102,5311000
3094,5000000
8448,6200000
7674,5079000
6165,4900000
4836,11400000
3662,9000000
3951,4800000
882,6900000
4943,25200000
7076,3343000
8846,5350000
9819,3819000
1951,4000000
1146,24500000
4316,6500000
129,7500000
8927,10100000
3980,4500000
9643,6777000
6875,8800000
7552,15000000
3697,4800000
2039,3250000
1539,1645000
1743,5335000
4444,7800000
287,3959000
3633,13000000
4851,5500000
1913,6000000
2062,6300000
6573,6440000
2205,5635000
519,14000000
9171,5960000
3974,4500000
8137,17900000
5296,13500000
6695,16000000
8269,7200000
2203,5500000
2879,9780000
10055,4560000
8337,5000000
5684,5800000
5979,11500000
3490,5612000
8747,12600000
7518,2000000
6524,28000000
9654,4279000
5832,12000000
5113,4900000
4937,7200000
8238,10000000
2789,13200000
9963,3622999
3032,5450000
4470,3900000
2463,5200000
522,9500000
8279,10300000
3615,9830000
1766,5800000
2044,4700000
4659,5600000
5364,4500000
3232,9200000
7354,12000000
7423,12000000
9250,2540000
5229,15000000
5027,7500000
2132,9259000
2295,3364000
9462,5200000
6923,4533000
8373,5000000
5492,16500000
6021,6200000
7766,5547000
3510,42500000
2107,3200000
4715,10300000
2051,3995000
2052,10400000
2895,19900000
6820,10400000
4640,7500000
5215,3303000
922,4500000
1546,3137000
5969,9000000
10084,26000000
2126,7000000
7871,4000000
7623,7500000
8393,5784000
1584,3834000
427,4316000
1150,9000000
7726,7439000
408,6500000
7741,7440000
8819,11300000
1888,2540000
5496,11000000
1840,3200000
5081,4670000
10118,10800000
3419,7164000
6784,7000000
2706,4600000
5117,7000000
1801,4675000
4613,5615000
3655,11000000
676,3877000
2058,6700000
4437,4060000
9552,4100000
3277,5200000
5622,6700000
5525,20000000
3501,15000000
8077,7600000
3827,6500000
2346,6500000
6293,4700000
5307,3000000
1800,4115999
5112,6900000
2854,10700000
1977,6800000
6968,9300000
9135,4500000
7415,5011000
3388,4625000
5434,11500000
1881,5600000
1834,1700000
9553,12500000
9288,11600000
5446,6900000
761,5840000
4535,3084000
8203,18500000
10001,7790000
565,1000000
8798,5000000
8649,5500000
8095,4350000
6574,18500000
2447,8200000
2197,5900000
7217,8000000
8876,12200000
7131,3200000
2246,3384000
3393,6000000
1149,4500000
729,4283000
9081,3600000
1981,10500000
3156,8956000
3878,4800000
8980,9000000
2938,9800000
1953,5400000
7060,24000000
5811,5300000
9367,4760000
6530,5500000
7753,10600000
4402,4000000
1152,3500000
38,4725000
602,7000000
3570,5250000
9256,3422000
3241,8000000
5185,4895000
6738,12500000
3185,6087000
7733,22000000
4645,10700000
9779,4300000
6940,3000000
4205,6400000
1549,1645000
6249,7500000
1394,17500000
9926,5640000
6380,3600000
6884,11000000
1522,3022000
8392,10500000
8308,8200000
2693,10000000
5301,13300000
3231,3900000
9876,3935000
6298,2300000
144,13500000
2644,7300000
2223,3783000
7691,7500000
6104,4500000
1292,4700000
936,11500000
8796,6800000
5389,7634000
9148,4800000
4970,5650000
9653,3536000
2156,5750000
8270,31000000
7573,6500000
1747,5900000
988,13000000
2159,6000000
9704,6136000
6880,7500000
1111,5600000
10038,2000000
832,5913000
7907,8800000
9698,8000000
4250,5500000
7122,5286000
6123,11000000
5083,4986000
5615,6200000
1912,6450000
1328,4000000
5980,13000000
3689,6000000
7151,17500000
8578,3750000
8202,8500000
2597,5300000
8131,6984999
5876,6100000
3212,8155000
3372,20300000
549,2500000
2193,2834000
417,5910000
9180,5700000
6948,12500000
7638,5800000
4434,1500000
7891,5547000
6928,5000000
9949,9000000
167,12500000
9018,11000000
5104,6900000
6577,12000000
7251,7200000
9551,3900000
5443,28000000
9131,3588000
7486,9000000
3941,8900000
815,14000000
2564,25000000
7275,3749000
5316,6300000
634,5599000
5184,7400000
3624,11100000
5941,7750000
8732,6600000
5052,5790000
6950,3000000
9451,10300000
1673,5900000
5999,27000000
4965,6700000
6205,6263000
858,9500000
4026,3800000
7751,5208000
861,9500000
6987,4800000
1240,5200000
8471,7800000
3843,6100000
8470,11000000
5218,8000000
5475,24000000
2722,6984000
7379,5850000
5406,6500000
2803,12500000
2970,14500000
1224,7597000
8651,4300000
4116,1969500
3912,3500000
7026,5760000
4449,5000000
852,5500000
6733,1500000
1371,25000000
2178,5400000
1154,11200000
5804,17000000
390,12500000
5198,4600000
8645,3200000
955,12000000
5056,20000000
7550,18300000
6255,4600000
5093,6000000
697,7500000
7496,9500000
6514,4000000
7270,18000000
8600,7500000
1345,3797000
9301,7919000
7770,3854999
6927,8800000
4191,8500000
673,6900000
3539,17100000
4378,5800000
5967,3700000
5884,14000000
8745,13100000
7856,5115000
2920,36400000
9898,7000000
1521,1386000
2754,7600000
3414,11000000
1429,8800000
109,7200000
5593,5500000
9010,7900000
1661,5900000
3222,8051000
1415,5640000
5629,5400000
5778,52000000
4925,27500000
2640,4300000
10104,5467000
2550,12000000
2914,11300000
842,7200000
660,7400000
4196,6900000
7121,29500000
1249,13400000
856,4200000
1038,5400000
6319,5500000
2267,3465000
7774,5376000
8250,10400000
3593,9165000
2953,26000000
926,12500000
5120,6500000
9330,8500000
7686,5079000
7269,5500000
8068,4800000
329,9000000
910,6800000
2528,7000000
7390,9700000
5805,7900000
9167,4800000
7281,6848000
8049,6800000
7783,4739000
3003,5350000
5280,12500000
5821,15100000
3492,30000000
3493,23500000
9891,8200000
7634,7800000
1811,32500000
6185,5200000
1140,4800000
4959,6000000
6460,15600000
1992,6000000
6385,16000000
8349,12200000
360,8000000
9960,3800000
4528,5333000
2396,6500000
1968,7000000
3705,4300000
7051,8000000
3048,6200000
9351,6700000
1041,4408000
8795,3429999
4301,32500000
1003,7000000
3858,10000000
1337,9000000
789,5993500
8919,11200000
1503,1645000
7381,4500000
4958,5200000
9287,12100000
1093,4375000
5349,20100000
8292,7500000
4837,9500000
7599,3500000
2919,6000000
5263,4620000
928,14800000
8506,4575000
2901,11700000
8874,11500000
2362,6000000
392,9400000
7105,4000000
2171,3811999
177,15000000
3363,7761000
9498,7950000
9540,4500000
1222,7597000
2989,13000000
5932,5500000
9628,6700000
6703,35000000
3961,8500000
1329,3500000
7592,5200000
2003,4100000
9257,3628000
1889,1989999
3487,8950000
921,12000000
8481,6000000
2888,19800000
6902,5600000
9059,6827000
4497,5500000
3012,5424000
3759,4800000
2679,9000000
7767,4907000
3524,16800000
1011,9436000
6538,9800000
6151,4900000
3383,10000000
3089,10500000
5181,6500000
3934,5200000
1019,10300000
4056,2600000
2533,5276000
10013,7800000
2165,3365000
1943,12000000
2891,11700000
3648,13100000
7618,11800000
3177,8000000
7671,5079000
742,6300000
5774,8800000
7842,7200000
2072,7800000
1592,3550000
9,30000000
1902,8600000
3103,7400000
3700,5500000
9487,7928000
9214,4600000
4393,3800000
9772,9400000
6292,8800000
7311,4840000
6896,7500000
9166,4200000
3120,8000000
3818,9300000
4581,12800000
6444,6400000
2954,13200000
1399,5600000
2431,5400000
6415,5000000
8353,5500000
4323,14200000
4052,8800000
5561,11500000
6273,4366000
4364,4500000
8419,12000000
5720,10000000
2029,2970000
3134,9780000
1443,5650000
5248,5500000
1993,6550000
3036,5450000
1620,8027000
6027,8000000
3688,4000000
6671,18000000
5173,4095000
4636,3000000
118,6500000
9345,8500000
6969,7500000
4123,4100000
7607,6000000
546,1200000
203,13000000
7885,5700000
7904,3700000
4543,5066000
7895,5578000
9445,14550000
7749,5207000
5694,5300000
7294,9500000
227,5900000
1898,6900000
2227,6580000
9764,12500000
1963,3400000
4882,15800000
1893,9250000
5600,9800000
8345,16900000
5722,7300000
6838,9185500
8612,12000000
9296,11700000
7966,42500000
6233,4500000
3616,7600000
3577,4500000
3500,14500000
6935,16500000
3044,14000000
4302,6900000
8537,8500000
8132,5600000
4210,6000000
3979,5500000
3219,7400000
4809,7500000
7669,3954999
6267,15600000
1470,4750000
5337,19100000
4915,220000000
8580,7200000
7140,13000000
9901,22000000
4256,9800000
8837,7800000
9702,7856999
4476,4200000
7694,19200000
4950,19000000
8191,3250000
9673,12000000
99,9500000
8529,27500000
6289,7000000
3647,10400000
3141,13400000
6318,9000000
7964,32000000
6159,4100000
6543,7000000
5036,22000000
9012,8300000
1395,5000000
4720,12000000
5279,5000000
2427,75000000
1676,3600000
3656,8000000
5763,11500000
5377,9500000
7611,17500000
7435,6500000
1985,10400000
1838,2550000
1411,7000000
7502,4700000
1568,3500000
1497,9891000
321,8000000
4598,17000000
7737,3264000
4344,8701000
3660,13500000
9708,26100000
693,5360000
6372,10000000
4512,2800000
2782,8800000
1761,10700000
5015,10300000
5206,7500000
4736,7000000
9723,13900000
3175,9500000
2294,6500000
8536,2280000
9914,12500000
7068,5000000
307,8500000
781,6100000
9869,4000000
8490,4550000
4503,5100000
3181,9832000
9583,5100000
6633,15000000
5200,4590000
9954,14000000
899,5900000
3256,5500000
9497,7700000
5186,10000000
5834,16500000
5354,26200000
7341,8400000
6545,10500000
8872,6500000
979,10500000
4405,1950000
7765,4810000
1681,6200000
5010,5800000
8378,5000000
3956,5500000
3625,8000000
4188,5297000
6773,1900000
9331,6700000
5310,11000000
823,15000000
4365,4600000
8360,11600000
1306,5900000
2388,10500000
8849,8300000
9270,4000000
948,7500000
7640,7793000
587,7000000
8702,6600000
7335,5600000
1594,4100000
5822,10500000
3852,4200000
4038,7000000
216,3000000
4200,7800000
4777,7000000
9398,20000000
2476,23000000
2791,13400000
6235,4200000
6394,12000000
8009,4680000
4266,5000000
1102,4000000
9114,5019000
9242,2700000
8815,13500000
5067,7600000
6039,12000000
8231,5000000
7088,6900000
9220,4700000
5237,4900000
3572,11000000
1000,6000000
4974,7000000
2213,10000000
3289,7000000
3402,2850000
2026,10000000
8258,9500000
4938,8680000
2950,31000000
2149,5500000
9011,9500000
4,14800000
188,9200000
196,4350000
2955,10800000
9036,5000000
9221,6838000
4195,6900000
5750,7000000
2517,19500000
3670,4600000
9085,6116000
4612,4860000
10105,4000000
6046,7500000
9645,4500000
7314,3950000
2502,7500000
6300,6200000
7867,4870000
578,22800000
2732,7500000
3285,5200000
8452,17600000
5851,6800000
1643,5000000
5437,6500000
7205,6500000
6846,2100000
5105,5800000
9077,3500000
7056,13500000
8694,12500000
8549,15000000
5623,6300000
6462,7500000
2397,6500000
7808,4200000
7492,2400000
71,6180000
4215,4100000
1085,5000000
1947,3264000
2573,9000000
8690,4500000
7031,5990000
795,7173000
9767,9263000
9629,9000000
3795,7500000
2010,5800000
9463,15500000
5870,4100000
6625,16000000
5929,6500000
8315,7800000
5167,4000000
1746,5243000
3810,11000000
213,4090000
6163,4800000
757,45000000
2710,4700000
2937,21900000
1214,7597000
8725,6600000
8289,5800000
9479,6000000
5246,8800000
3066,16000000
5643,8000000
3214,10000000
6003,55000000
7318,5500000
9676,6800000
3091,12500000
5723,9000000
7007,4800000
442,3700000
7440,4700000
9307,6000000
6435,6000000
1320,4100000
3374,24800000
3216,7600000
3407,12000000
9247,3047000
5854,7500000
6664,35000000
8075,4300000
6869,6400000
2972,11300000
717,9000000
9129,4043000
17,22500000
6198,5500000
4182,4100000
9110,4800000
456,2685000
122,12000000
1202,9900000
8197,11500000
380,12000000
4098,2500000
2983,11900000
3218,6645999
5725,9500000
3186,5000000
6299,3500000
304,8510000
8479,7400000
8576,5000000
4789,3200000
4137,5550000
6279,6000000
9478,5400000
9158,5500000
3776,4700000
7932,32400000
2656,6800000
7665,6600000
1303,1950000
9045,4400000
7745,4997000
9233,5732000
5288,5700000
2870,11700000
7333,6000000
1687,5000000
2907,19500000
6189,4000000
3796,4500000
1380,24000000
7484,18500000
3339,9200000
4496,5800000
5299,4500000
4212,5800000
8813,10200000
951,8000000
6839,28000000
1492,17000000
3537,25000000
9757,14000000
4276,6120000
294,4633000
6982,8000000
446,2526000
7746,5250000
5007,4700000
171,12200000
3547,20000000
3482,6800000
259,8000000
8676,7600000
3873,4600000
4582,16000000
6583,7500000
6399,13000000
4782,15000000
272,3500000
528,5500000
3854,8000000
1423,8800000
8169,8000000
8636,6900000
6628,8000000
1031,6000000
1600,4000000
5194,4973000
7526,8500000
2948,10200000
4668,5900000
14,8500000
6479,12000000
8969,6500000
1246,6500000
3686,11500000
9002,10000000
9545,3900000
6011,12900000
1076,4930000
6497,5600000
8774,14500000
8112,7000000
7993,12500000
1735,6000000
246,29000000
1230,11500000
9648,9484000
386,12100000
5957,2400000
6348,5700000
9848,5000000
2781,14000000
792,19500000
3455,7200000
9679,8403000
2348,5000000
8054,5000000
248,4200000
5545,6250000
3060,8700000
7772,5579000
8595,15000000
5963,3500000
8091,23000000
1316,5300000
2714,9500000
9964,5259000
641,9455000
1145,3511000
2472,3625000
1245,11000000
450,3600000
5537,12000000
640,5800000
2969,9700000
8559,8000000
2978,13500000
1057,7440000
1705,14000000
1471,12600000
9918,5058000
1052,3906000
2182,13400000
2934,13700000
7651,4700000
1400,9500000
2520,7500000
382,25500000
1359,3351000
1001,15000000
6223,7700000
48,13000000
5319,18500000
8761,4949000
9913,5700000
4795,4950000
387,12500000
7160,26500000
9403,40000000
3626,16000000
7420,18000000
6893,8900000
8641,3300000
9641,9700000
3195,8495000
1750,2857000
895,7500000
1002,8500000
3556,4900000
4129,8300000
3643,10400000
4624,11000000
3824,5400000
3699,4700000
9688,19800000
1829,3200000
4642,9700000
5160,9131000
1366,12500000
3550,13000000
3496,13500000
6724,5500000
5455,11500000
8583,15000000
4318,15000000
363,7600000
2774,13600000
1426,9300000
6105,10000000
7773,2200000
4238,6090000
6918,3500000
8067,5100000
5813,5200000
9453,4800000
8379,5700000
4949,34000000
5305,3500000
8724,7500000
6517,3249000
7498,17200000
5306,2050000
9958,8200000
3357,8486000
769,5900000
8704,6000000
2281,2800000
658,6500000
2112,3076000
1835,3350000
7653,4300000
8658,5800000
4724,7954000
1730,6500000
9224,6000000
2439,4500000
4911,5500000
8052,15000000
59,3000000
532,5000000
7195,4568000
6389,28500000
5583,5200000
2014,1200000
4413,1700000
5116,6600000
8881,10500000
2921,9700000
470,3400000
7329,6000000
6599,19000000
1163,6200000
319,6000000
6400,5300000
4827,10900000
3559,4500000
8961,30000000
9021,9000000
152,7500000
102,4600000
6014,25500000
2198,2888000
8864,8800000
9613,7500000
2372,33000000
2878,6145000
3417,4900000
2173,2900000
5937,4800000
1123,6800000
1672,5000000
4637,6850000
2424,40000000
2596,6900000
493,8600000
2314,5200000
169,8000000
5462,4800000
3257,6600000
1421,5680000
3644,7500000
1302,14000000
7029,4800000
8147,7200000
9578,4613000
8175,33800000
5715,36700000
6370,4400000
8125,9500000
7136,5000000
4232,6260000
2805,5600000
439,2600000
6801,7000000
3309,3715000
2504,8200000
3519,18000000
5793,3400000
7973,25100000
6926,11000000
8251,6700000
4134,3500000
1465,5500000
3457,9000000
2400,7000000
7687,16200000
7198,14000000
4271,8900000
7147,13300000
6109,10000000
5740,4200000
255,7100000
6316,9500000
8886,7100000
3040,5357000
2515,4600000
4927,30000000
4510,5300000
1484,5000000
8498,12000000
4204,4100000
7961,22000000
3785,2200000
2798,11500000
7672,4639000
8954,10500000
1847,6500000
8638,9500000
636,3636999
5582,12500000
1266,3300000
6076,3900000
5530,7834000
9566,8300000
774,5000000
5562,2800000
2086,3000000
8129,11500000
7221,10700000
7777,7400000
4854,5189000
5965,9500000
5409,5000000
7631,8000000
6585,4980000
4923,15800000
2017,7900000
1551,2997000
9647,7500000
4139,3499000
2244,3813000
4741,14500000
8788,12300000
7196,6500000
9117,4060000
7487,42500000
629,4590000
7850,4800000
4737,7800000
7016,7000000
5477,6829000
4031,4520000
3023,4800000
8689,12000000
7085,3800000
4259,5806000
6136,14800000
7994,9332000
3581,15000000
8440,9301000
9817,7820000
2976,12500000
8036,15000000
6132,5200000
1605,5183000
3381,26000000
9474,3900000
1094,4473000
9232,6415000
3757,5100000
9405,11500000
4564,21000000
4209,6900000
8042,5610000
4278,8000000
4763,8262000
2851,8387000
1582,1404000
8607,6500000
7764,4579000
5430,10000000
3885,4800000
7803,3175000
3952,5100000
633,6500000
1914,6450000
9358,6500000
6863,18000000
3516,10500000
1910,2888000
4372,7500000
9194,4676000
9644,9000000
1751,5200000
8317,8300000
2621,19800000
1532,1900000
2395,4895000
8322,18000000
1980,3800000
4574,77500000
3926,7800000
5827,7800000
3283,6700000
7206,9500000
8372,15000000
3694,5200000
3714,4900000
1317,5400000
1597,3800000
5501,5000000
6483,11500000
8696,32500000
9295,10300000
4830,12000000
6359,17000000
4768,12500000
9185,5500000
238,5075000
2127,3800000
6261,4900000
3188,16000000
1334,3720000
6920,3446000
1740,6500000
6036,7300000
158,12000000
3135,10000000
2334,5600000
1491,12000000
1531,2486000
2793,8990000
305,12000000
2984,12300000
9692,9500000
4542,5066000
7666,8000000
2004,7800000
4330,8000000
4460,4900000
7969,26200000
8328,6000000
8410,11900000
9675,6238000
5909,10300000
2692,4600000
5807,35000000
2906,9100000
6834,2350000
163,9500000
8625,6700000
7022,9500000
3494,29000000
6321,6000000
4701,4638000
2410,6060000
811,5700000
2183,1950000
3425,10300000
4760,55000000
103,5049000
6190,8500000
5272,12000000
5856,3845000
9134,3588000
6226,10500000
3746,3900000
3586,5500000
8234,5000000
7364,8300000
6033,5986000
3275,4500000
9766,5600000
6225,7700000
7609,3400000
9079,5960000
638,3895000
7025,5000000
9829,10700000
1045,3779999
2741,9783000
8124,19500000
2313,5147000
9549,4700000
7567,3600000
8545,3600000
8822,13000000
7818,5327000
3139,5900000
8426,9800000
7821,7000000
1765,6200000
6576,6000000
7255,9500000
7560,14000000
3621,9800000
4656,7000000
2092,3200000
9473,3600000
433,5870000
9202,4535000
7689,6800000
1450,5672500
4055,5125000
7215,11500000
9831,4800000
2638,4600000
5283,9900000
4755,10500000
1326,5028000
9266,5400000
8478,17500000
6535,5400000
3495,13000000
6388,7559999
7372,4225000
9281,4200000
2208,3350000
4233,6091000
1540,3000000
2986,11500000
863,9000000
9041,6047000
3470,12500000
9248,3200000
9652,20800000
1043,6000000
7350,6000000
7814,2100000
1948,4200000
6879,6000000
7066,8500000
1952,6400000
4176,7490000
6438,5600000
2220,5247000
8193,4800000
4928,23700000
8548,15500000
5374,8400000
7188,27000000
662,4500000
2624,5300000
8110,6000000
9865,5150000
8566,30000000
437,1400000
5459,5500000
7711,7200000
621,4139000
3051,12000000
6575,5723000
1630,8000000
4333,6500000
5656,4800000
8628,7300000
9060,6400000
2823,9800000
9139,5000000
7790,6100000
8621,4500000
6241,7200000
7100,7300000
9947,4872000
4058,4000000
9600,9926000
3702,13000000
5168,9600000
8290,7800000
1639,4900000
6562,6500000
9481,25000000
1823,4039000
2278,3500000
9245,4270000
695,13500000
39,4025000
3343,2829000
6439,5300000
2430,3450000
8561,9000000
1880,2553000
45,7000000
6431,6100000
7156,5279000
7729,7350000
4135,6000000
6866,12600000
2831,5400000
9562,5200000
10021,2000000
6334,14500000
6766,17000000
6644,5800000
2860,23000000
777,9500000
2965,21000000
2608,5600000
5240,8500000
3472,7500000
299,4079999
5642,4500000
176,7600000
5517,26000000
9997,5800000
7810,5900000
3769,6000000
3744,15500000
2054,5400000
5362,9400000
9776,30000000
3552,47500000
8301,9500000
8869,4500000
8463,7403000
2225,3267000
8792,16000000
4855,6000000
7393,11000000
7139,7500000
1860,15000000
5817,8500000
7045,5600000
4379,6900000
7145,22500000
7603,5000000
1258,14700000
4608,4500000
2872,9000000
4308,6700000
4954,12500000
1872,12500000
9419,7200000
8755,15300000
6984,55000000
8984,9525000
7739,5250000
5767,8500000
5410,4990000
6794,2280000
